country	latitude	longitude	name
AT	47.516231	14.550072	Austria
BR	-14.235004	-51.92528	Brazil
CB	11.55972	104.91750	Cambodia
CA	56.130366	-106.346771	Canada
CN	35.86166	104.195397	China
FI	61.92411	25.748151	Finland
FR	46.227638	2.213749	France
DE	51.165691	10.451526	Germany
HK	22.396428	114.109497	Hong Kong
IN	20.593684	78.96288	India
IT	41.87194	12.56738	Italy
CI	7.539989	-5.54708	Ivory Coast
JP	36.204824	138.252924	Japan
MO	22.198745	113.543873	Macau
CN	35.86166	104.195397	Mainland China
MY	4.210484	101.975766	Malaysia
MX	23.634501	-102.552784	Mexico
NP	28.394857	84.124008	Nepal
PH	12.879721	121.774017	Philippines
RU	61.52401	105.318756	Russia
SG	1.352083	103.819836	Singapore
KR	35.907757	127.766922	South Korea
ES	40.463667	-3.74922	Spain
LK	7.873054	80.771797	Sri Lanka
SE	60.128161	18.643501	Sweden
TW	23.69781	120.960515	Taiwan
TH	15.870032	100.992541	Thailand
TH	51.47778	-0.00139	United Kingdom
AE	23.424076	53.847818	United Arab Emirates
US	37.09024	-95.712891	United States
VN	14.058324	108.277199	Vietnam
